name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-07 00:00:00,D,62.415957446,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-07 00:00:00,D,96.534042553,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-07 00:00:00,D,40400.309270833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-07 00:00:00,D,7748.043229166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-07 00:00:00,D,6253.046979166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-08 00:00:00,D,4.681065104,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-08 00:00:00,D,57.997872340,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-08 00:00:00,D,91.764210526,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-08 00:00:00,D,35363.534135416,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-08 00:00:00,D,6067.907500000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-08 00:00:00,D,7352.790625000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-09 00:00:00,D,8.681033645,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-09 00:00:00,D,44.429032258,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-09 00:00:00,D,79.125000000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-09 00:00:00,D,17734.182708333,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-09 00:00:00,D,8547.187500000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-09 00:00:00,D,5656.044062500,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-10 00:00:00,D,12.152264479,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-10 00:00:00,D,42.798924731,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-10 00:00:00,D,79.500000000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-10 00:00:00,D,16220.568958333,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-10 00:00:00,D,7145.016770833,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-10 00:00:00,D,3333.372281250,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-11 00:00:00,D,15.291546770,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-11 00:00:00,D,29.482795698,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-11 00:00:00,D,67.055208333,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-11 00:00:00,D,8592.030677083,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-11 00:00:00,D,7360.447916666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-11 00:00:00,D,2744.062281250,Main Htg Hot Water
